"Response ID","Date submitted","Last page","Start language","For a systematic review to compare effectiveness of exposure therapy based on the habituation versus inhibition-learning theories of exposure, we will process published therapy evaluations and code the active ingredients.  	We list the active ingredients in this list, and we have two questions about this list.  	The results of this brief exploration will be shared through the Open Science Framework repository for this project, which is located at https://osf.io/3nze4. The raw datafile from LimeSurvey will be shared. Therefore, please do not list any personal data here, unless you consent to the publication of these personal data.  	If you have any questions, feel free to contact Pepijn van der Hulle at pepijnvanderhulle@gmail.com or Gjalt-Jorn Peters at gjalt-jorn@behaviorchange.eu.","Active ingredient  			 				Definition and coding instruction  		 	  	 		 			 				Fear hierarchy  			 				The exposure trials are rank-ordered in their ability to elicit anxiety.  		 		 			 				Fear monitoring  			 				The fear level of the participant is being monitored throughout the exposure trial.  		 		 			 				Fear level  			 				The end of the exposure trial is determined by fear reduction to a certain level.  		 		 			 				Expectancy statement  			 				Expectancies for aversive events are explicitly stated before the start of the exposure trial.  		 		 			 				Learning consolidation  			 				Following the exposure trial, the learning is consolidated by asking participants to judge what they learned regarding the non-occurrence of the feared event, discrepancies between what was predicted and what occurred.  		 		 			 				Expectancy violation  			 				The end of the exposure trial is determined by expectancy reduction to a certain level.  		 		 			 				Lessen overestimation  			 				Cognitive interventions designed to lessen probability overestimation (e.g., “I am unlikely to be bitten by the dog”) and perceived negative valence (e.g., “It is not so bad to be rejected”) occur.  		 		 			 				Deepened extinction  			 				Combination of multiple cues (internal and/or external) during exposure therapy, after initially conducting some exposure to each cue in isolation.  		 		 			 				Occasional reinforced extinction  			 				Occasional CS-US pairings during extinction training occur.  		 		 			 				Removal of safety signals  			 				The prevention or removal of “safety signals” or “safety behaviors"" during the exposure therapy occurs.  		 		 			 				Variability  			 				Exposure is conducted with varying stimuli, for varying durations, at varying levels of intensity, or items from a fear hierarchy are selected out of order, rather than continuing exposure in one situation until fear declines before moving to the next situation.  		 		 			 				Retrieval cues  			 				Retrieval cues (of the CS-no US association) are included during extinction training to be used in other contexts once extinction is over.  		 		 			 				Multiple contexts  			 				Interoceptive, imaginal, and in vivo exposures are conducted in multiple different contexts, such as when alone, in unfamiliar places, or at varying times of day or varying days of the week.  		 		 			 				Reconsolidation  			 				The phobic stimulus is introduced for a brief period about 30 minutes before repeated trials of exposure.  		 	   	 ","Do you think any of these ingredients and/or their descriptions should be corrected? If so, could you indicate this here? [Fear hierarchy]","Do you think any of these ingredients and/or their descriptions should be corrected? If so, could you indicate this here? [Fear monitoring]","Do you think any of these ingredients and/or their descriptions should be corrected? If so, could you indicate this here? [Fear level]","Do you think any of these ingredients and/or their descriptions should be corrected? If so, could you indicate this here? [expectancy statement]","Do you think any of these ingredients and/or their descriptions should be corrected? If so, could you indicate this here? [Learning consolidation]","Do you think any of these ingredients and/or their descriptions should be corrected? If so, could you indicate this here? [Expectancy violation]","Do you think any of these ingredients and/or their descriptions should be corrected? If so, could you indicate this here? [Lessen overestimation]","Do you think any of these ingredients and/or their descriptions should be corrected? If so, could you indicate this here? [Deepened extinction]","Do you think any of these ingredients and/or their descriptions should be corrected? If so, could you indicate this here? [Occasional reinforced extinction]","Do you think any of these ingredients and/or their descriptions should be corrected? If so, could you indicate this here? [Removal of safety signals]","Do you think any of these ingredients and/or their descriptions should be corrected? If so, could you indicate this here? [Variability]","Do you think any of these ingredients and/or their descriptions should be corrected? If so, could you indicate this here? [Retrieval cues]","Do you think any of these ingredients and/or their descriptions should be corrected? If so, could you indicate this here? [Multiple contexts]","Do you think any of these ingredients and/or their descriptions should be corrected? If so, could you indicate this here? [Reconsolidation]","Do you think there are active ingredients in exposure therapy that are omitted in this list? If so, could you please indicate these here?","Could you please provide an indication as to your background/expertise?","Could you please provide an indication as to your background/expertise? [Other]","Do you have any last comments? For example, are there any articles that you think are crucial with respect to this topic, or is there anything else you would like to share?  	(Perhaps superfluously: note that this exploration is very much a 'lean' extra initiative we introduced in this project. We are aware that it is unlikely we'll obtain anything like 'the final word' on active ingredients in exposure therapy.)"
"1","","","en","","","","","","","","","","","","","","","","","","","",""
"2","1980-01-01 00:00:00","1","en","","","","","","","","","dit is 1 kant van angst; de andere is de mate waarin iemand zelfvertrouwen (self-efficacy; problem solving/coping) heeft een probleem aan te kunnen (CBT kan zich ook op die kant richten om angst te verminderen)","","","","","","","","Mogelijk nog het aantal behandelingen. 

En waarschijnlijk ook goed om onderscheid te maken in typen angst: bijvoorbeeld in termen van complexiteit (bijv. spinnenangst vs. sociale angst).","4","","Volgens mij had je 'm al gevonden, maar ik denk dat Craske 2014 een zeer helder artikel is hiervoor. 

Ik ben geen expert op dit gebied, maar ik hoop voor je analyse dat uitkomstmaten te vergelijken zijn voor beide theorieeen. Habituatie is veelal ouder, dus daar worden misschien niet alleen andere proximale maten gebruikt, maar ook bijv. DSM criteria komen uit een eerdere DSM versie dan de meer recente studies over inhibitie. "
"3","","","en","","","","","","","","","","","","","","","","","","","",""
"4","1980-01-01 00:00:00","1","en","","","","Could also include 'affect labelling' more generally.","","I agree this is important, the only thing would be whether it can be shown to be an active ingredient - even without explicitly stating and disconfirming it, expectancies are likely to be activated and contradicted.","I would use another term than consolidation as this also refers to the process of memory storage/stabilisation that is also often spoken of in fear learning/extinction.","Could also be stated as 'prediction error'. It's a little difficult whether the expectancy violation should be 'reduced to a certain level', or whether it is instead a binary thing: you make the explicit and specific prediction and test it in the exposure. Could expectancy statement and expectancy violation even be combined to refer to a 'behavioral test' - as in CBT where the cognitions/expectations are treated as a hypothesis and the exposure functions as a behavioral test of them","It would depend on when this occurs: if exposure therapy works by forcing a prediction error to update beliefs, then some theorists would say that lessening overestimation before exposure would be counterproductive, as it would lessen the contrast between what is expected and what occurs, and reduce inhibitory learning.","Could also have a separate thing for enhancing extinction learning with pharmacological means? The same could go for habituation (a drug taken to reduce arousal during exposure could make habituation more rapid).","","","","","","I would say 'retrieval-extinction' rather than reconsolidation. I the one case, you simply state what is occurring (brief retrieval, then extinction), whereas in the other a specific process is inferred. There is a lot of conflicting evidence about whether retrieval-extinction procedures are really reconsolidation-based.","One of the things I thought of was that sometimes a pharmacological agent is used to enhance inhibitory learning. Perhaps: 'pharmacological enhancement' or something like that.

The reference to reconsolidation is questionable as I noted above, in that we do not know whether reconsolidation is what is occurring. Also though, if a reconsolidation approach is taken and reconsolidation is what is believed to be happening, then it would be neither a habituation nor an inhibitory learning approach. The idea that people focusing on reconsolidation in exposure are pushing is that rather than inhibitory memories being formed, the original memory is directly updated.","8","","Presumably you have already gone through the papers by Michelle Craske on maximising exposure therapy."
"5","","","en","","","","","","","","","","","","","","","","","","","",""
"6","1980-01-01 00:00:00","1","en","","","","","","","","","The formulation is somewhat obscure. What exactly is the intervention?","","","","","","","","No","6","","No"
"7","","","en","","","","","","","","","","","","","","","","","","","",""
"8","","","en","","","","","","","","","","","","","","","","","","","",""
"9","","","en","","","","","","","","","","","","","","","","","","","",""
"10","","","en","","","","","","","","","","","","","","","","","","","",""
"11","","","en","","","","","","","","","","","","","","","","","","","",""
"12","","","en","","","","","","","","","","","","","","","","","","","",""
"13","","","en","","","","","","","","","","","","","","","","","","","",""
"14","","","en","","","","","","","","","","","","","","","","","","","",""
"15","","","en","","","","","","","","","","","","","","","","","","","",""
"16","","","en","","","","","","","","","","","","","","","","","","","",""
"17","","","en","","","","","","","","","","","","","","","","","","","",""
"18","","","en","","","","","","","","","","","","","","","","","","","",""
"19","","","en","","","","","","","","","","","","","","","","","","","",""
"20","","","en","","","","","","","","","","","","","","","","","","","",""
"21","","","en","","","","","","","","","","","","","","","","","","","",""
"22","","","en","","","","","","","","","","","","","","","","","","","",""
"23","","","en","","","","","","","","","","","","","","","","","","","",""
"24","","","en","","","","","","","","","","","","","","","","","","","",""
"25","","","en","","","","","","","","","","","","","","","","","","","",""
"26","","","en","","","","","","","","","","","","","","","","","","","",""
"27","","","en","","","","","","","","","","","","","","","","","","","",""
"28","","","en","","","","","","","","","","","","","","","","","","","",""
